dataset,model_name,feature_group,n_features,accuracy,precision,recall,f1,auc,brier_score,ece,train_time_s,inference_ms_per_1k,is_best_accuracy
A,RF,G1,20,0.9297,0.9335,0.9296,0.9308,0.9624,0.0599,0.0503,0.1257,0.0496,False
A,SVM,G1,20,0.909,0.9059,0.9183,0.9115,0.9355,0.0766,0.0802,0.0556,0.0892,False
A,MLP,G1,20,0.9125,0.9168,0.9114,0.9136,0.9426,0.0968,0.1182,0.0914,0.0015,True
A,KNN,G1,20,0.8998,0.9107,0.891,0.9,0.9469,0.0781,0.0627,0.0004,0.0189,False
A,Stacking,G1,20,0.9286,0.9413,0.9182,0.9288,0.9655,0.0587,0.0567,1.2029,0.0674,False
A,OC_SVM,G1,20,0.6337,0.6982,0.5034,0.5748,0.6213,0.2376,0.1001,0.0019,0.0075,False
A,RF,G2,10,0.8387,0.8501,0.83,0.8396,0.915,0.1173,0.0718,0.1114,0.0415,False
A,SVM,G2,10,0.811,0.8279,0.7935,0.8099,0.8737,0.1419,0.072,0.0614,0.1002,False
A,MLP,G2,10,0.7868,0.8097,0.7618,0.7839,0.8296,0.1917,0.1711,0.0491,0.0014,False
A,KNN,G2,10,0.8134,0.8578,0.7596,0.8046,0.879,0.1432,0.0919,0.0013,0.0126,False
A,Stacking,G2,10,0.8456,0.8744,0.8141,0.8425,0.9159,0.1191,0.0931,1.0094,0.0541,False
A,OC_SVM,G2,10,0.6233,0.7214,0.4285,0.5364,0.6111,0.2342,0.1139,0.001,0.0034,False
A,RF,G3,11,0.8641,0.9215,0.8028,0.8562,0.9318,0.1002,0.0705,0.118,0.0442,False
A,SVM,G3,11,0.7512,0.719,0.8503,0.7769,0.8728,0.1534,0.1408,0.0709,0.1222,False
A,MLP,G3,11,0.7592,0.7312,0.8706,0.7881,0.8136,0.1726,0.1118,0.0847,0.0013,False
A,KNN,G3,11,0.8007,0.9362,0.653,0.7686,0.818,0.1924,0.1834,0.001,0.0137,False
A,Stacking,G3,11,0.8629,0.9236,0.7982,0.8546,0.9319,0.1009,0.072,1.0348,0.0559,False
A,OC_SVM,G3,11,0.5519,0.6264,0.2926,0.398,0.585,0.2375,0.1057,0.0011,0.0035,False
A,RF,G4,13,0.932,0.9387,0.9275,0.9328,0.9813,0.0525,0.0538,0.1141,0.0407,False
A,SVM,G4,13,0.8422,0.8038,0.9139,0.855,0.9207,0.1116,0.0898,0.0648,0.1093,False
A,MLP,G4,13,0.8295,0.81,0.8709,0.8387,0.9023,0.127,0.0913,0.0936,0.0014,False
A,KNN,G4,13,0.8675,0.861,0.8843,0.8715,0.9335,0.0979,0.0433,0.001,0.0141,False
A,Stacking,G4,13,0.9297,0.9287,0.9343,0.9312,0.9797,0.0531,0.0632,1.1556,0.0611,False
A,OC_SVM,G4,13,0.6613,0.7826,0.4624,0.5804,0.656,0.2311,0.114,0.0013,0.0041,False
A,RF,G6,30,0.9608,0.9642,0.9592,0.9614,0.9924,0.0341,0.0577,0.1202,0.0399,True
A,SVM,G6,30,0.9493,0.9369,0.966,0.951,0.9813,0.0453,0.0692,0.0771,0.1326,True
A,MLP,G6,30,0.9078,0.9081,0.9115,0.9095,0.971,0.0724,0.0847,0.1057,0.0015,False
A,KNN,G6,30,0.9182,0.9226,0.9161,0.9191,0.9749,0.0555,0.0366,0.0006,0.0178,True
A,Stacking,G6,30,0.9516,0.9507,0.9546,0.9525,0.9921,0.0332,0.0577,1.4024,0.0701,False
A,OC_SVM,G6,30,0.75,0.8119,0.6597,0.7266,0.7887,0.1901,0.1105,0.0026,0.009,True
A,RF,G7,21,0.9562,0.9592,0.9546,0.9568,0.9918,0.0363,0.0539,0.1304,0.0457,False
A,SVM,G7,21,0.8986,0.8952,0.907,0.9008,0.9633,0.0729,0.0728,0.0692,0.1048,False
A,MLP,G7,21,0.8836,0.894,0.8751,0.884,0.9435,0.1025,0.1128,0.0862,0.0013,False
A,KNN,G7,21,0.9159,0.9104,0.9251,0.9176,0.9612,0.0661,0.0348,0.0004,0.0173,False
A,Stacking,G7,21,0.9551,0.9528,0.9591,0.9559,0.9904,0.0371,0.0631,1.2322,0.0675,True
A,OC_SVM,G7,21,0.6532,0.7337,0.5012,0.5948,0.6656,0.2221,0.1377,0.0015,0.0062,False
A,RF,G8,5,0.879,0.8827,0.8798,0.8807,0.9494,0.0889,0.0619,0.1231,0.0431,False
A,SVM,G8,5,0.7858,0.7946,0.7801,0.7868,0.8736,0.1487,0.105,0.0598,0.1048,False
A,MLP,G8,5,0.7558,0.7565,0.7688,0.7621,0.8317,0.1754,0.1039,0.0827,0.0018,False
A,KNN,G8,5,0.8272,0.8148,0.8572,0.8347,0.9021,0.1237,0.0521,0.0009,0.0116,False
A,Stacking,G8,5,0.8767,0.8756,0.8844,0.8794,0.9464,0.0914,0.0754,1.0774,0.0579,False
A,OC_SVM,G8,5,0.5795,0.6876,0.3153,0.432,0.5283,0.2784,0.1994,0.0012,0.0044,False
B,RF,G1,26,0.9726,0.966,0.9836,0.9746,0.9936,0.0226,0.0272,0.103,0.0393,False
B,SVM,G1,26,0.9726,0.9661,0.9836,0.9746,0.993,0.0227,0.0306,0.0422,0.0532,False
B,MLP,G1,26,0.9628,0.9751,0.9549,0.9647,0.9905,0.0703,0.1757,0.0684,0.0015,False
B,KNN,G1,26,0.9584,0.9629,0.959,0.9608,0.9858,0.0459,0.0613,0.0003,0.0152,False
B,Stacking,G1,26,0.9748,0.9681,0.9857,0.9766,0.9949,0.0219,0.0363,1.0441,0.0622,False
B,OC_SVM,G1,26,0.7014,0.7887,0.6039,0.6833,0.7195,0.1948,0.1083,0.0019,0.0061,False
B,RF,G2,10,0.8632,0.871,0.8727,0.8718,0.9266,0.1018,0.0565,0.111,0.0404,False
B,SVM,G2,10,0.8414,0.8838,0.809,0.8446,0.8873,0.1251,0.0857,0.0606,0.1008,False
B,MLP,G2,10,0.8272,0.8611,0.807,0.8328,0.8817,0.141,0.1038,0.0804,0.0013,False
B,KNN,G2,10,0.8184,0.8728,0.772,0.8188,0.8983,0.1324,0.0948,0.001,0.0107,False
B,Stacking,G2,10,0.8545,0.8735,0.8501,0.8614,0.9319,0.1026,0.0681,1.2523,0.061,False
B,OC_SVM,G2,10,0.5799,0.6945,0.3759,0.4872,0.5826,0.2479,0.099,0.0016,0.0055,False
B,RF,G3,11,0.8424,0.7863,0.9691,0.8679,0.9345,0.0994,0.0601,0.1385,0.048,False
B,SVM,G3,11,0.8052,0.7546,0.9424,0.8378,0.8233,0.1493,0.0937,0.0845,0.137,False
B,MLP,G3,11,0.7692,0.7156,0.9486,0.8148,0.828,0.1695,0.1095,0.0846,0.0014,False
B,KNN,G3,11,0.7407,0.9195,0.5645,0.6978,0.7649,0.2455,0.2287,0.001,0.0153,False
B,Stacking,G3,11,0.8195,0.8515,0.8111,0.8254,0.9331,0.1022,0.072,1.1194,0.0615,False
B,OC_SVM,G3,11,0.6007,0.7397,0.3817,0.4926,0.6973,0.231,0.1194,0.001,0.0033,False
B,RF,G4,13,0.977,0.9699,0.9876,0.9786,0.996,0.0209,0.0432,0.1112,0.0403,False
B,SVM,G4,13,0.9464,0.9245,0.9794,0.9511,0.9881,0.0389,0.0551,0.0524,0.0749,False
B,MLP,G4,13,0.9103,0.9056,0.9282,0.9166,0.9568,0.0898,0.1199,0.0794,0.0013,False
B,KNN,G4,13,0.9267,0.9087,0.9589,0.9331,0.9693,0.0542,0.0273,0.0011,0.0137,False
B,Stacking,G4,13,0.9726,0.9676,0.9815,0.9745,0.9955,0.0205,0.0363,1.0756,0.0527,False
B,OC_SVM,G4,13,0.7101,0.8199,0.5834,0.6804,0.7446,0.1988,0.104,0.0011,0.0035,False
B,RF,G5,7,0.5646,1.0,0.1828,0.3089,0.5914,0.2254,0.0064,0.1022,0.0415,False
B,SVM,G5,7,0.5646,1.0,0.1828,0.3089,0.5914,0.2254,0.0062,0.0818,0.1737,False
B,MLP,G5,7,0.5646,1.0,0.1828,0.3089,0.5914,0.2271,0.0216,0.0436,0.0012,False
B,KNN,G5,7,0.5646,1.0,0.1828,0.3089,0.5914,0.4354,0.4354,0.0007,0.0125,False
B,Stacking,G5,7,0.5646,1.0,0.1828,0.3089,0.5914,0.2255,0.0091,0.8387,0.0489,False
B,OC_SVM,G5,7,0.5328,0.5328,1.0,0.6952,0.5914,0.2257,0.0159,0.0006,0.0027,False
B,RF,G6,30,0.9923,0.99,0.9959,0.9929,0.9998,0.0078,0.0252,0.1051,0.0374,True
B,SVM,G6,30,0.9814,0.9739,0.9918,0.9827,0.9992,0.0135,0.0345,0.0459,0.0589,False
B,MLP,G6,30,0.9716,0.9697,0.9774,0.9734,0.9933,0.0387,0.095,0.0769,0.0014,True
B,KNN,G6,30,0.9672,0.9544,0.9857,0.9697,0.991,0.0247,0.0164,0.0004,0.0166,False
B,Stacking,G6,30,0.9934,0.9939,0.9939,0.9938,0.9997,0.0067,0.0261,1.0931,0.0607,True
B,OC_SVM,G6,30,0.7221,0.7955,0.6467,0.7124,0.7478,0.2016,0.124,0.0019,0.0064,False
B,RF,G7,28,0.9825,0.9836,0.9835,0.9836,0.9964,0.021,0.0409,0.134,0.048,False
B,SVM,G7,28,0.9278,0.9242,0.9424,0.9329,0.9763,0.0535,0.0539,0.0835,0.1307,False
B,MLP,G7,28,0.9202,0.9185,0.9343,0.9259,0.9671,0.0767,0.1032,0.1269,0.0019,False
B,KNN,G7,28,0.9343,0.9333,0.9445,0.9388,0.9778,0.0473,0.0243,0.0005,0.0222,False
B,Stacking,G7,28,0.9781,0.9777,0.9815,0.9795,0.9962,0.0201,0.0414,1.2578,0.0669,False
B,OC_SVM,G7,28,0.7495,0.8068,0.6981,0.748,0.8197,0.1852,0.1151,0.002,0.0068,False
B,RF,G8,5,0.9869,0.9859,0.9897,0.9877,0.9982,0.0094,0.0125,0.1161,0.0412,False
B,SVM,G8,5,0.9825,0.9819,0.9857,0.9837,0.9979,0.0134,0.0329,0.0302,0.0324,True
B,MLP,G8,5,0.9672,0.9545,0.9856,0.9697,0.9938,0.1231,0.2492,0.0681,0.0014,False
B,KNN,G8,5,0.9825,0.9818,0.9857,0.9837,0.998,0.0117,0.0127,0.0007,0.0075,True
B,Stacking,G8,5,0.9858,0.982,0.9918,0.9868,0.9991,0.0108,0.0279,0.9731,0.0463,False
B,OC_SVM,G8,5,0.8797,0.8928,0.8808,0.8863,0.9442,0.141,0.2141,0.001,0.0031,True
